hour,susceptible,exposed,infected,hospitalized,recovered,deceased
377,198050,0,0,0,0,0.0
378,198050,0,0,0,0,0.0
379,198050,0,0,0,0,0.0
380,198050,0,0,0,0,0.0
381,198050,0,0,0,0,0.0
382,198050,0,0,0,0,0.0
383,198050,0,0,0,0,0.0
384,198050,0,0,0,0,0.0
385,198050,0,0,0,0,0.0
386,198050,0,0,0,0,0.0
387,198050,0,0,0,0,0.0
388,198050,0,0,0,0,0.0
389,198050,0,0,0,0,0.0
390,198050,0,0,0,0,0.0
391,198050,0,0,0,0,0.0
392,198050,0,0,0,0,0.0
393,198050,0,0,0,0,0.0
394,198050,0,0,0,0,0.0
395,198050,0,0,0,0,0.0
396,198050,0,0,0,0,0.0
397,198050,0,0,0,0,0.0
398,198050,0,0,0,0,0.0
399,198050,0,0,0,0,0.0
400,198050,0,0,0,0,0.0
401,198050,0,0,0,0,0.0
402,198050,0,0,0,0,0.0
403,198050,0,0,0,0,0.0
404,198050,0,0,0,0,0.0
405,198050,0,0,0,0,0.0
406,198050,0,0,0,0,0.0
407,198050,0,0,0,0,0.0
408,198050,0,0,0,0,0.0
409,198050,0,0,0,0,0.0
410,198050,0,0,0,0,0.0
411,198050,0,0,0,0,0.0
412,198050,0,0,0,0,0.0
413,198050,0,0,0,0,0.0
414,198050,0,0,0,0,0.0
415,198050,0,0,0,0,0.0
416,198050,0,0,0,0,0.0
417,198050,0,0,0,0,0.0
418,198050,0,0,0,0,0.0
419,198050,0,0,0,0,0.0
420,198050,0,0,0,0,0.0
421,198050,0,0,0,0,0.0
422,198050,0,0,0,0,0.0
423,198050,0,0,0,0,0.0
424,198050,0,0,0,0,0.0
425,198050,0,0,0,0,0.0
426,198050,0,0,0,0,0.0
427,198050,0,0,0,0,0.0
428,198050,0,0,0,0,0.0
429,198050,0,0,0,0,0.0
430,198050,0,0,0,0,0.0
431,198050,0,0,0,0,0.0
432,198050,0,0,0,0,0.0
433,198050,0,0,0,0,0.0
434,198050,0,0,0,0,0.0
435,198050,0,0,0,0,0.0
436,198050,0,0,0,0,0.0
437,198050,0,0,0,0,0.0
438,198050,0,0,0,0,0.0
439,198050,0,0,0,0,0.0
440,198050,0,0,0,0,0.0
441,198050,0,0,0,0,0.0
442,198050,0,0,0,0,0.0
443,198050,0,0,0,0,0.0
444,198050,0,0,0,0,0.0
445,198050,0,0,0,0,0.0
446,198050,0,0,0,0,0.0
447,198050,0,0,0,0,0.0
448,198050,0,0,0,0,0.0
449,198050,0,0,0,0,0.0
450,198050,0,0,0,0,0.0
451,198050,0,0,0,0,0.0
452,198050,0,0,0,0,0.0
453,198050,0,0,0,0,0.0
454,198050,0,0,0,0,0.0
455,198050,0,0,0,0,0.0
456,198050,0,0,0,0,0.0
457,198050,0,0,0,0,0.0
458,198050,0,0,0,0,0.0
459,198050,0,0,0,0,0.0
460,198050,0,0,0,0,0.0
461,198050,0,0,0,0,0.0
462,198050,0,0,0,0,0.0
463,198050,0,0,0,0,0.0
464,198050,0,0,0,0,0.0
465,198050,0,0,0,0,0.0
466,198050,0,0,0,0,0.0
467,198050,0,0,0,0,0.0
468,198050,0,0,0,0,0.0
469,198050,0,0,0,0,0.0
470,198050,0,0,0,0,0.0
471,198050,0,0,0,0,0.0
472,198050,0,0,0,0,0.0
473,198050,0,0,0,0,0.0
474,198050,0,0,0,0,0.0
475,198050,0,0,0,0,0.0
476,198050,0,0,0,0,0.0
477,198050,0,0,0,0,0.0
478,198050,0,0,0,0,0.0
479,198050,0,0,0,0,0.0
480,198050,0,0,0,0,0.0
481,198050,0,0,0,0,0.0
482,198050,0,0,0,0,0.0
483,198050,0,0,0,0,0.0
