areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths28DaysByDeathDate
E06000014,York,ltla,2021-01-31,11124,259
E06000014,York,ltla,2021-01-30,11072,255
E06000014,York,ltla,2021-01-29,11037,253
E06000014,York,ltla,2021-01-28,10998,251
E06000014,York,ltla,2021-01-27,10943,249
E06000014,York,ltla,2021-01-26,10880,243
E06000014,York,ltla,2021-01-25,10824,241
E06000014,York,ltla,2021-01-24,10745,233
E06000014,York,ltla,2021-01-23,10699,228
E06000014,York,ltla,2021-01-22,10650,227
E06000014,York,ltla,2021-01-21,10585,223
E06000014,York,ltla,2021-01-20,10514,222
E06000014,York,ltla,2021-01-19,10431,220
E06000014,York,ltla,2021-01-18,10332,210
E06000014,York,ltla,2021-01-17,10204,208
E06000014,York,ltla,2021-01-16,10131,201
E06000014,York,ltla,2021-01-15,10047,198
E06000014,York,ltla,2021-01-14,9941,193
E06000014,York,ltla,2021-01-13,9818,190
E06000014,York,ltla,2021-01-12,9686,186
E06000014,York,ltla,2021-01-11,9544,183
E06000014,York,ltla,2021-01-10,9346,179
E06000014,York,ltla,2021-01-09,9238,173
E06000014,York,ltla,2021-01-08,9088,173
E06000014,York,ltla,2021-01-07,8916,172
E06000014,York,ltla,2021-01-06,8736,171
E06000014,York,ltla,2021-01-05,8527,170
E06000014,York,ltla,2021-01-04,8319,169
E06000014,York,ltla,2021-01-03,8074,167
E06000014,York,ltla,2021-01-02,7853,167
E06000014,York,ltla,2021-01-01,7675,164
E06000014,York,ltla,2020-12-31,7573,164
E06000014,York,ltla,2020-12-30,7416,162
E06000014,York,ltla,2020-12-29,7223,161
E06000014,York,ltla,2020-12-28,6997,157
E06000014,York,ltla,2020-12-27,6863,156
E06000014,York,ltla,2020-12-26,6729,155
E06000014,York,ltla,2020-12-25,6624,155
E06000014,York,ltla,2020-12-24,6589,153
E06000014,York,ltla,2020-12-23,6507,152
E06000014,York,ltla,2020-12-22,6418,151
E06000014,York,ltla,2020-12-21,6315,149
E06000014,York,ltla,2020-12-20,6233,147
E06000014,York,ltla,2020-12-19,6166,146
E06000014,York,ltla,2020-12-18,6125,146
E06000014,York,ltla,2020-12-17,6082,145
E06000014,York,ltla,2020-12-16,6048,144
E06000014,York,ltla,2020-12-15,6006,143
E06000014,York,ltla,2020-12-14,5958,143
E06000014,York,ltla,2020-12-13,5932,143
E06000014,York,ltla,2020-12-12,5901,142
E06000014,York,ltla,2020-12-11,5883,141
E06000014,York,ltla,2020-12-10,5863,141
E06000014,York,ltla,2020-12-09,5849,141
E06000014,York,ltla,2020-12-08,5824,141
E06000014,York,ltla,2020-12-07,5810,141
E06000014,York,ltla,2020-12-06,5786,140
E06000014,York,ltla,2020-12-05,5766,137
E06000014,York,ltla,2020-12-04,5745,135
E06000014,York,ltla,2020-12-03,5732,134
E06000014,York,ltla,2020-12-02,5720,133
E06000014,York,ltla,2020-12-01,5702,133
E06000014,York,ltla,2020-11-30,5651,132
E06000014,York,ltla,2020-11-29,5630,128
E06000014,York,ltla,2020-11-28,5617,128
E06000014,York,ltla,2020-11-27,5599,128
E06000014,York,ltla,2020-11-26,5583,128
E06000014,York,ltla,2020-11-25,5558,127
E06000014,York,ltla,2020-11-24,5540,126
E06000014,York,ltla,2020-11-23,5514,126
E06000014,York,ltla,2020-11-22,5483,125
E06000014,York,ltla,2020-11-21,5453,124
E06000014,York,ltla,2020-11-20,5423,124
E06000014,York,ltla,2020-11-19,5377,123
E06000014,York,ltla,2020-11-18,5348,122
E06000014,York,ltla,2020-11-17,5317,121
E06000014,York,ltla,2020-11-16,5269,121
E06000014,York,ltla,2020-11-15,5217,121
E06000014,York,ltla,2020-11-14,5175,120
E06000014,York,ltla,2020-11-13,5147,120
E06000014,York,ltla,2020-11-12,5089,120
E06000014,York,ltla,2020-11-11,5048,120
E06000014,York,ltla,2020-11-10,4994,119
E06000014,York,ltla,2020-11-09,4921,118
E06000014,York,ltla,2020-11-08,4853,118
E06000014,York,ltla,2020-11-07,4815,117
E06000014,York,ltla,2020-11-06,4776,117
E06000014,York,ltla,2020-11-05,4725,117
E06000014,York,ltla,2020-11-04,4658,117
E06000014,York,ltla,2020-11-03,4603,117
E06000014,York,ltla,2020-11-02,4544,115
E06000014,York,ltla,2020-11-01,4478,115
E06000014,York,ltla,2020-10-31,4425,115
E06000014,York,ltla,2020-10-30,4381,115
E06000014,York,ltla,2020-10-29,4324,114
E06000014,York,ltla,2020-10-28,4260,114
E06000014,York,ltla,2020-10-27,4189,114
E06000014,York,ltla,2020-10-26,4125,114
E06000014,York,ltla,2020-10-25,4050,113
E06000014,York,ltla,2020-10-24,4002,113
E06000014,York,ltla,2020-10-23,3949,113
E06000014,York,ltla,2020-10-22,3879,113
E06000014,York,ltla,2020-10-21,3771,113
E06000014,York,ltla,2020-10-20,3650,113
E06000014,York,ltla,2020-10-19,3540,113
E06000014,York,ltla,2020-10-18,3411,112
E06000014,York,ltla,2020-10-17,3320,112
E06000014,York,ltla,2020-10-16,3228,112
E06000014,York,ltla,2020-10-15,3100,112
E06000014,York,ltla,2020-10-14,2961,112
E06000014,York,ltla,2020-10-13,2826,112
E06000014,York,ltla,2020-10-12,2668,112
E06000014,York,ltla,2020-10-11,2517,112
E06000014,York,ltla,2020-10-10,2419,112
E06000014,York,ltla,2020-10-09,2301,110
E06000014,York,ltla,2020-10-08,2179,110
E06000014,York,ltla,2020-10-07,2054,110
E06000014,York,ltla,2020-10-06,1915,110
E06000014,York,ltla,2020-10-05,1811,110
E06000014,York,ltla,2020-10-04,1729,110
E06000014,York,ltla,2020-10-03,1632,110
E06000014,York,ltla,2020-10-02,1575,110
E06000014,York,ltla,2020-10-01,1491,110
E06000014,York,ltla,2020-09-30,1418,110
E06000014,York,ltla,2020-09-29,1375,110
E06000014,York,ltla,2020-09-28,1343,110
E06000014,York,ltla,2020-09-27,1290,110
E06000014,York,ltla,2020-09-26,1262,110
E06000014,York,ltla,2020-09-25,1242,110
E06000014,York,ltla,2020-09-24,1224,110
E06000014,York,ltla,2020-09-23,1203,110
E06000014,York,ltla,2020-09-22,1186,110
E06000014,York,ltla,2020-09-21,1164,110
E06000014,York,ltla,2020-09-20,1149,110
E06000014,York,ltla,2020-09-19,1132,110
E06000014,York,ltla,2020-09-18,1121,110
E06000014,York,ltla,2020-09-17,1113,110
E06000014,York,ltla,2020-09-16,1098,110
E06000014,York,ltla,2020-09-15,1088,110
E06000014,York,ltla,2020-09-14,1083,110
E06000014,York,ltla,2020-09-13,1066,110
E06000014,York,ltla,2020-09-12,1061,110
E06000014,York,ltla,2020-09-11,1055,110
E06000014,York,ltla,2020-09-10,1048,110
E06000014,York,ltla,2020-09-09,1030,110
E06000014,York,ltla,2020-09-08,1023,110
E06000014,York,ltla,2020-09-07,1012,110
E06000014,York,ltla,2020-09-06,1001,110
E06000014,York,ltla,2020-09-05,1000,110
E06000014,York,ltla,2020-09-04,995,110
E06000014,York,ltla,2020-09-03,995,110
E06000014,York,ltla,2020-09-02,988,110
E06000014,York,ltla,2020-09-01,980,110
E06000014,York,ltla,2020-08-31,974,110
E06000014,York,ltla,2020-08-30,970,110
E06000014,York,ltla,2020-08-29,965,110
E06000014,York,ltla,2020-08-28,962,110
E06000014,York,ltla,2020-08-27,962,110
E06000014,York,ltla,2020-08-26,960,110
E06000014,York,ltla,2020-08-25,960,110
E06000014,York,ltla,2020-08-24,955,110
E06000014,York,ltla,2020-08-23,953,110
E06000014,York,ltla,2020-08-22,953,110
E06000014,York,ltla,2020-08-21,952,110
E06000014,York,ltla,2020-08-20,945,110
E06000014,York,ltla,2020-08-19,945,110
E06000014,York,ltla,2020-08-18,944,110
E06000014,York,ltla,2020-08-17,944,110
E06000014,York,ltla,2020-08-16,944,110
E06000014,York,ltla,2020-08-15,938,110
E06000014,York,ltla,2020-08-14,937,110
E06000014,York,ltla,2020-08-13,937,110
E06000014,York,ltla,2020-08-12,936,110
E06000014,York,ltla,2020-08-11,936,110
E06000014,York,ltla,2020-08-10,936,110
E06000014,York,ltla,2020-08-09,933,110
E06000014,York,ltla,2020-08-08,930,110
E06000014,York,ltla,2020-08-07,929,110
E06000014,York,ltla,2020-08-06,927,110
E06000014,York,ltla,2020-08-05,925,110
E06000014,York,ltla,2020-08-04,925,110
E06000014,York,ltla,2020-08-03,925,110
E06000014,York,ltla,2020-08-02,923,110
E06000014,York,ltla,2020-08-01,923,110
E06000014,York,ltla,2020-07-31,923,110
E06000014,York,ltla,2020-07-30,922,110
E06000014,York,ltla,2020-07-29,922,110
E06000014,York,ltla,2020-07-28,921,110
E06000014,York,ltla,2020-07-27,921,110
E06000014,York,ltla,2020-07-26,921,110
E06000014,York,ltla,2020-07-25,921,110
E06000014,York,ltla,2020-07-24,918,110
E06000014,York,ltla,2020-07-23,916,110
E06000014,York,ltla,2020-07-22,915,110
E06000014,York,ltla,2020-07-21,915,110
E06000014,York,ltla,2020-07-20,915,110
E06000014,York,ltla,2020-07-19,912,110
E06000014,York,ltla,2020-07-18,912,110
E06000014,York,ltla,2020-07-17,911,110
E06000014,York,ltla,2020-07-16,910,110
E06000014,York,ltla,2020-07-15,910,110
E06000014,York,ltla,2020-07-14,910,110
E06000014,York,ltla,2020-07-13,909,110
E06000014,York,ltla,2020-07-12,908,110
E06000014,York,ltla,2020-07-11,907,110
E06000014,York,ltla,2020-07-10,907,110
E06000014,York,ltla,2020-07-09,906,110
